treatment,site,mon_dis_oxi,wed_dark_d_oxi,wed_light_d_oxi,NPP(wed-mon,R(wed-mond),GPP(wed-mon),thurs_dark_d_oxi,thurs_light_d_oxi,GPP(thu_mon),R(thu_mon),NPP(thu_mon),GPP(thu_wed),R(thu_wed),NPP(thu_wed),Temp
xx,1,84,,80,-4,,,,89,5,84,89,9,0,9,
px,1,84,85,77,-7,-1,-8,91,87,3,-7,-4,4,-6,10,
xn,1,84,83,83,-1,1,0,88,91,7,-4,3,3,-5,8,
pn,1,84,78,80,-4,6,2,87,87,3,-3,0,-2,-9,7,
xx,2,88,73,77,-11,15,4,81,87.6,-0.4,7,6.6,2.6,-8,10.6,
px,2,88,83,,,5,,,,-88,88,0,83,83,0,
xn,2,88,82,87,-1,6,5,88,,-88,0,-88,-93,-6,-87,
pn,2,88,80,75,-13,8,-5,103,99.3,11.3,-15,-3.7,1.3,-23,24.3,
xx,3,75,82,88,13,-7,6,82,72,-3,-7,-10,-16,0,-16,
px,3,75,87,82,7,-12,-5,76,81,6,-1,5,10,11,-1,
xn,3,75,84,82,7,-9,-2,93,85,10,-18,-8,-6,-9,3,
pn,3,75,86,87,12,-11,1,82,79,4,-7,-3,-4,4,-8,
xx,4,92,89.4,91,-1,2.6,1.6,80,80,-12,12,0,-1.6,9.4,-11,
px,4,92,84.2,100.7,8.7,7.8,16.5,79,76,-16,13,-3,-19.5,5.2,-24.7,
xn,4,92,93.6,96.7,4.7,-1.6,3.1,80,81,-11,12,1,-2.1,13.6,-15.7,
pn,4,92,108.4,89.2,-2.8,-16.4,-19.2,75,81,-11,17,6,25.2,33.4,-8.2,
